id	colliderName	type,[int]	info	question	cur_opt_id,[int]	check_task	answer_r	answer_w	opt0	obj0	opt1	obj1	opt2	obj2	opt3	obj3	opt4	obj4	opt5	obj5	opt6	obj6	opt7	obj7
0	m_lijingli	0			0	FALSE			你好，你就是我们厂新来的实习生吧！我是这个工厂的经理，我姓李。今天是你来工厂的第一天，我想要先给你介绍一下厂里给你的实习安排，然后带你了解一下工厂整体。		咱们整个工厂啊，负责的是浓缩果蔬汁的生产，整个生产线从原料的清洗挑选，到破碎去核、预热打浆等等负责把原料一步步加工成成品果蔬汁。不同的处理段，有着不同的功能和机器设计，而每一个处理段也有不同的管理员负责管理。				你在整个实习的过程中，会和管理员们一一接触，而他们的职责就是负责带着你走完整个处理段的知识理解，比如处理段整体的信息考察、具体的机器理解等等，他们会通过提问的方式来考察你对这些知识的掌握程度，就像小测验一样。		而我相对比较特殊，因为我们整个厂除了处理段的信息外，还有一些总括性的信息需要你了解和掌握，我的工作就是带你了解这些内容。不过不用着急，你可以先在周围转转，如果靠近具有信息的机器或者挂牌，你可以主动观察那些信息。		如果你觉得转够了，就来找我，咱们就正式开始你的考察之旅！					
1	m_lijingli	0			0	FALSE			准备好了的话，你的实习就正式开始了！在工厂门口周围的墙上有许多有关咱们整个生产线的概况信息，包括建筑参数、原料、产品包装等等。		你在我这里实习的整个过程中，咱们就按照这个顺序来进行整体信息的学习，所以你的首个需要学习的部分就是咱们生产线的建筑参数。		在门口处找到有关生产线建筑参数的相关信息，然后来找我回答问题，你首先需要注意的是车间的总长、进深、面积、开间相关的问题											
2	m_lijingli	1		浓缩车间总长为____m	0	FALSE	答案正确！	错啦，答案是88m。	88	1_1_1	68		86		92									
3	m_lijingli	1		浓缩车间进深为____m	0	FALSE	答案正确！	错啦，答案是32m。	24		32	1_1_1	48		36									
4	m_lijingli	1		浓缩车间平面面积为____m2	0	FALSE	答案正确！	答案是2816m²！	2618		2168		2816	1_1_1	2186									
5	m_lijingli	1		浓缩车间开间长为____m	0	FALSE	答案正确！	答案是8m！	9		7		6		8	1_1_1								
6	m_lijingli	1		浓缩车间共有____开间	0	FALSE	答案正确！	答案是11开间！	11	1_1_1	12		13		14									
7	m_lijingli	0			0	FALSE			刚刚你了解到了车间的总长、进深等相关的信息，你还需要了解的有车间的跨、外墙门数、汽车装卸货月台数量、地坪高等信息，了解完毕后，可以来找我回答问题。															
8	m_lijingli	1		浓缩车间共有____跨	0	FALSE	答案正确！	答案是1跨！	2		1	1_1_1	3		4									
9	m_lijingli	1		浓缩车间外墙有____个门	0	FALSE	答案正确！	是5个门	2		3		5	1_1_1	4									
10	m_lijingli	1		浓缩车间有____个汽车装卸货月台	0	FALSE	答案正确！	回答错误！	2		4		5		3	1_1_1								
11	m_lijingli	1		浓缩车间地坪标高____m	0	FALSE	答案正确！	回答错误！	1.2	1_1_1	1		0.3		0.5									
12	m_lijingli	1		浓缩车间外墙的废弃物排出口有____处	0	FALSE	答案正确！	回答错误！	2		3	1_1_1	4		5									
13	m_lijingli	1		浓缩车间月台的标高为____m	0	FALSE	答案正确！	回答错误！	1		0.3		1.2	1_1_1	1.5									
14	m_lijingli	0			0	FALSE			不错！了解完咱们生产线的建筑参数后，你可以开始了解生产线的原料了。我们生产线的原料包括番茄、番石榴和芒果，它们具有两个需要关注的数值，一个叫出汁率，一个叫汁液可溶性固形物含量。		所以接下来你的任务就是了解这三种原料和它们对应的两个重要参数，然后来找我回答问题。													
15	m_lijingli	1		原料番茄的出汁率为____%	0	FALSE	答案正确！	回答错误！	45		93		90		94	1_1_1								
16	m_lijingli	1		原料番茄的汁液可溶性固形物含量为____%	0	FALSE	答案正确！	回答错误！	12.5		10		4.3	1_1_1	8.5									
17	m_lijingli	1		原料番石榴的出汁率为____%	0	FALSE	答案正确！	回答错误！	93	1_1_1	45		90		94									
18	m_lijingli	1		原料番石榴的汁液可溶性固形物含量为____%	0	FALSE	答案正确！	回答错误！	12.5		10		4.3		8.5	1_1_1								
19	m_lijingli	1		原料芒果的出汁率为____%	0	FALSE	答案正确！	回答错误！	93		45	1_1_1	90		94									
20	m_lijingli	1		原料芒果的汁液可溶性固形物含量为____%	0	FALSE	答案正确！	回答错误！	12.5	1_1_1	10		4.3		8.5									
21	m_lijingli	0			0	FALSE			了解了我们的原料之后，就是生产线的产品和包装了，它们就是我们生产线最终产出的成品，而你经过一系列的学习和了解，最终也就能知道原料是如何一步步变成产品的。		我们分两部分进行学习，首先是了解产品的固形物含量，也就是番茄酱、番石榴酱和芒果酱的固形物含量；然后是产品包装的内外包装材料和规格。													
22	m_lijingli	1		番茄酱的固形物含量为____%	0	FALSE	答案正确！	回答错误！	25		28	1_1_1	45		65									
23	m_lijingli	1		番石榴酱的固形物含量为____%	0	FALSE	答案正确！	回答错误！	25		28		45	1_1_1	65									
24	m_lijingli	1		芒果酱的固形物含量为____%	0	FALSE	答案正确！	回答错误！	25		28		45		65	1_1_1								
25	m_lijingli	1		果蔬酱料产品内包装规格为____L	0	FALSE	答案正确！	回答错误！	20		50		120		200	1_1_1								
26	m_lijingli	1		果蔬酱料产品内包装材料为____	0	FALSE	答案正确！	回答错误！	无菌袋	1_1_1	塑料桶		钢桶		普通塑料袋									
27	m_lijingli	1		浓缩果蔬汁产品外包装形式为____	0	FALSE	答案正确！	回答错误！	铁桶		木桶		纸桶		钢桶	1_1_1								
